disYear,disMonth,disDate,disDay,disQuantity,disQuantityRate,disCount,disCountRate
2018,09,26,4,2697117124,4.19,1372116,3.58
2018,09,27,5,2304762076,3.58,1284690,3.36
2018,09,28,6,2007227561,3.12,1168579,3.05
2018,09,29,7,2015205846,3.13,1171077,3.06
2018,09,30,1,2404306904,3.73,1439378,3.76
2018,10,01,2,2361846929,3.78,1269356,3.56
2018,10,02,3,1987229170,3.18,1161956,3.26
2018,10,03,4,2189158883,3.51,1307555,3.67
2018,10,04,5,2126796011,3.41,1256386,3.53
2018,10,05,6,1571117305,2.52,875226,2.46
2018,10,06,7,2152781985,3.45,1216593,3.41
2018,10,07,1,2360585585,3.78,1413903,3.97
2018,10,08,2,2205033377,3.53,1187252,3.33
2018,10,09,3,2118173641,3.39,1242227,3.49
2018,10,10,4,1990151626,3.19,1155010,3.24
2018,10,11,5,1828083500,2.93,1085045,3.04
2018,10,12,6,1833239634,2.94,1083269,3.04
2018,10,13,7,1847434386,2.96,1074471,3.01
2018,10,14,1,2156107737,3.45,1292846,3.63
2018,10,15,2,2261936018,3.62,1219272,3.42
2018,10,16,3,1961403644,3.14,1127907,3.16
2018,10,17,4,1921747509,3.08,1139690,3.2
2018,10,18,5,1787404970,2.86,1078394,3.03
2018,10,19,6,1876010683,3.0,1095522,3.07
2018,10,20,7,1552108724,2.49,877343,2.46
2018,10,21,1,2165848250,3.47,1275208,3.58
2018,10,22,2,2297363926,3.68,1212758,3.4
2018,10,23,3,1966228102,3.15,1110344,3.12
2018,10,24,4,1945991073,3.12,1141587,3.2
2018,10,25,5,1868420838,2.99,1113581,3.12
2018,10,26,6,1770850778,2.84,995803,2.79
2018,10,27,7,1891503780,3.03,1056827,2.97
2018,10,28,1,2158836436,3.46,1216745,3.41
2018,10,29,2,2362144385,3.78,1196857,3.36
2018,10,30,3,2000991766,3.2,1078018,3.02
2018,10,31,4,1931529496,3.09,1081612,3.03
2018,11,01,5,1887884311,2.75,1071593,3.18
2018,11,02,6,1944148529,2.84,1074049,3.18
2018,11,03,7,1983957597,2.89,1061612,3.15
2018,11,04,1,2316957605,3.38,1271134,3.77
2018,11,05,2,2449871370,3.57,1209781,3.59
2018,11,06,3,2127266222,3.1,1118029,3.31
2018,11,07,4,2036450610,2.97,1103547,3.27
2018,11,08,5,1644019788,2.4,859992,2.55
2018,11,09,6,2425418333,3.54,1252855,3.71
2018,11,10,7,2230188057,3.25,1110967,3.29
2018,11,11,1,2423000220,3.53,1244245,3.69
2018,11,12,2,2626306470,3.83,1227731,3.64
2018,11,13,3,2267467946,3.31,1134838,3.36
2018,11,14,4,2203542295,3.21,1141277,3.38
2018,11,15,5,2166812544,3.16,1119573,3.32
2018,11,16,6,2224941340,3.24,1093366,3.24
2018,11,17,7,2315793894,3.38,1089981,3.23
2018,11,18,1,2603695118,3.8,1261513,3.74
2018,11,19,2,2728194730,3.98,1211013,3.59
2018,11,20,3,2359553159,3.44,1118159,3.31
2018,11,21,4,2211018479,3.22,1083004,3.21
2018,11,22,5,2193860860,3.2,1075247,3.19
2018,11,23,6,2277229455,3.32,1065302,3.16
2018,11,24,7,2278642815,3.32,1003694,2.97
2018,11,25,1,2793669138,4.07,1291448,3.83
2018,11,26,2,2803010682,4.09,1201783,3.56
2018,11,27,3,2337730907,3.41,1065320,3.16
2018,11,28,4,2199130059,3.21,1047162,3.1
2018,11,29,5,2197578568,3.2,1061751,3.15
2018,11,30,6,2310246837,3.37,1070297,3.17
2018,12,01,7,2478895595,3.73,1071986,3.37
2018,12,02,1,2768737383,4.17,1299241,4.08
2018,12,03,2,2614556456,3.94,1114022,3.5
2018,12,04,3,2415370727,3.64,1123640,3.53
2018,12,05,4,2194156915,3.31,1071112,3.37
2018,12,06,5,2091379196,3.15,1038594,3.26
2018,12,07,6,1901428818,2.86,907425,2.85
2018,12,08,7,2018760664,3.04,929758,2.92
2018,12,09,1,2395700324,3.61,1145089,3.6
2018,12,10,2,2423484179,3.65,1102285,3.46
2018,12,11,3,2044295999,3.08,970033,3.05
2018,12,12,4,2022909569,3.05,1000999,3.14
2018,12,13,5,1858543389,2.8,937994,2.95
2018,12,14,6,1873203528,2.82,930397,2.92
2018,12,15,7,1955629058,2.95,943240,2.96
2018,12,16,1,2296576597,3.46,1131458,3.55
2018,12,17,2,2423357505,3.65,1100145,3.46
2018,12,18,3,2037647389,3.07,994401,3.12
2018,12,19,4,1959908066,2.95,997142,3.13
2018,12,20,5,1872987198,2.82,969680,3.05
2018,12,21,6,1927533526,2.9,973683,3.06
