citySidoName,citySggName,2020_total_ingu,2020_man_ingu,2020_woman_ingu,2019_total_ingu,2019_man_ingu,2019_woman_ingu,2018_total_ingu,2018_man_ingu,2018_woman_ingu
부산광역시,연제구,209157,100700,108457,209395,101253,108142,207840,100789,107051
부산광역시,수영구,176894,83573,93321,176148,83565,92583,176246,83852,92394
부산광역시,사상구,212586,107405,105181,218094,110286,107808,223361,113240,110121
부산광역시,기장군,174545,86439,88106,164716,81571,83145,164864,81598,83266
대구광역시,중구,76547,36799,39748,77421,37384,40037,79401,38498,40903
대구광역시,동구,341920,168443,173477,345469,170601,174868,351291,173955,177336
대구광역시,서구,170700,85572,85128,175277,88052,87225,184372,92796,91576
대구광역시,남구,146632,70471,76161,148113,71366,76747,150501,72664,77837
대구광역시,북구,440263,219197,221066,437710,218150,219560,439489,219307,220182
대구광역시,수성구,424314,205293,219021,428614,208024,220590,432759,210621,222138
대구광역시,달서구,558631,275626,283005,568887,281348,287539,573413,284127,289286
대구광역시,달성군,259339,131708,127631,256540,130361,126179,250543,127374,123169
인천광역시,중구,139729,72485,67244,135135,70063,65072,122499,63700,58799
인천광역시,동구,62542,31575,30967,64427,32536,31891,66233,33433,32800
인천광역시,미추홀구,404343,203638,200705,408862,206129,202733,416542,210088,206454
인천광역시,연수구,387450,192570,194880,366550,182374,184176,346359,172298,174061
인천광역시,남동구,525354,260923,264431,532704,264955,267749,537161,267426,269735
인천광역시,부평구,494962,244713,250249,511577,253338,258239,524640,260144,264496
인천광역시,계양구,296750,147976,148774,303471,151569,151902,312680,156128,156552
인천광역시,서구,542040,273778,268262,544556,274942,269614,538596,272153,266443
인천광역시,강화군,69203,34644,34559,69178,34665,34513,68896,34546,34350
인천광역시,옹진군,20455,11641,8814,20566,11678,8888,21036,11928,9108
광주광역시,동구,102897,50810,52087,98585,48799,49786,94475,46902,47573
광주광역시,서구,296576,145374,151202,300975,147671,153304,304172,149540,154632
광주광역시,남구,214579,103257,111322,218060,105027,113033,216369,104337,112032
광주광역시,북구,430431,213611,216820,433533,215260,218273,439773,218323,221450
광주광역시,광산구,405579,204296,201283,405315,203983,201332,404547,203479,201068
대전광역시,동구,223021,112416,110605,226771,114447,112324,229071,115735,113336
대전광역시,중구,235550,116233,119317,240473,118864,121609,244421,121056,123365
대전광역시,서구,477880,235112,242768,481222,236851,244371,484663,238678,245985
대전광역시,유성구,351047,177240,173807,349373,176415,172958,349790,176412,173378
대전광역시,대덕구,176384,89698,86686,177031,90030,87001,181991,92457,89534
울산광역시,중구,217595,110201,107394,223581,113526,110055,231973,117934,114039
울산광역시,남구,320064,163198,156866,323819,165062,158757,330732,168494,162238
울산광역시,동구,156806,81999,74807,159656,83391,76265,164642,86127,78515
울산광역시,북구,219014,113392,105622,217796,112588,105208,206434,106750,99684
울산광역시,울주군,222538,114918,107620,223167,115145,108022,221842,114514,107328
세종특별자치시,세종시,355831,177568,178263,340575,169845,170730,314126,156831,157295
경기도,수원시,1186078,597076,589002,1194465,601410,593055,1201166,604918,596248
경기도,장안구,273661,137807,135854,278377,140218,138159,286433,144163,142270
경기도,권선구,368645,186050,182595,371754,187627,184127,377647,190493,187154
경기도,팔달구,174930,88180,86750,175866,88523,87343,180974,91091,89883
경기도,영통구,368842,185039,183803,368468,185042,183426,356112,179171,176941
경기도,성남시,940064,465407,474657,942724,466644,476080,954347,472506,481841
경기도,수정구,241701,122204,119497,234678,118631,116047,234133,118563,115570
경기도,중원구,216131,109444,106687,220041,111444,108597,224885,113912,110973
경기도,분당구,482232,233759,248473,488005,236569,251436,495329,240031,255298
경기도,의정부시,461710,227342,234368,451868,222590,229278,447026,220360,226666
경기도,안양시,550027,271936,278091,567044,280652,286392,576831,285816,291015
경기도,만안구,239413,119864,119549,244235,122326,121909,251512,126059,125453
경기도,동안구,310614,152072,158542,322809,158326,164483,325319,159757,165562
경기도,부천시,818383,406023,412360,829996,412500,417496,843768,420179,423589
